train 5 films, 504,520 frames (5.61 h)
    BigBoyRidesAgain_frames.npy
    rog561b_netzero_310_frames.npy
    rog561b_netzero_317_frames.npy
    rog56_mail_614_frames.npy
    rog56_mail_922_frames.npy
HELD-OUT 2 films, 183,905 frames (2.04 h)
    rog56_mail_927_frames.npy
    rough_riding_ranger_frames.npy

held-out baselines: zero 0.29632  PERSISTENCE 0.04399  (the one to beat)

params 10,297,838 (3,840,000 association)
/home/brandonin/Documents/IBM-1/scripts/train_video_multifilm.py:131: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  print(f"{step:6d}  train {float(loss):.5f}  held {held:.5f}  "
     0  train 0.40537  held 0.31628  persist 0.02607  SKILL -11.1308  r_eff 13.92      1s  <- best
 17000  train 0.09308  held 0.09291  persist 0.04662  SKILL -0.9930  r_eff  6.29   3082s
 17250  train 0.14109  held 0.09006  persist 0.03795  SKILL -1.3728  r_eff  6.99   3127s
 17500  train 0.09526  held 0.09216  persist 0.03375  SKILL -1.7305  r_eff  6.55   3172s
 17750  train 0.11598  held 0.09464  persist 0.04489  SKILL -1.1083  r_eff  6.88   3217s
 18000  train 0.08605  held 0.09025  persist 0.03450  SKILL -1.6161  r_eff  7.24   3263s
 18250  train 0.09493  held 0.09651  persist 0.04665  SKILL -1.0690  r_eff  6.84   3308s
 18500  train 0.10025  held 0.09765  persist 0.03427  SKILL -1.8494  r_eff  6.86   3353s
 18750  train 0.09791  held 0.10606  persist 0.05542  SKILL -0.9139  r_eff  7.73   3398s
 19000  train 0.09233  held 0.09540  persist 0.04277  SKILL -1.2304  r_eff  7.26   3444s
 19250  train 0.13837  held 0.10694  persist 0.05015  SKILL -1.1324  r_eff  6.41   3489s
 19500  train 0.08761  held 0.10146  persist 0.04802  SKILL -1.1129  r_eff  6.95   3534s
 19750  train 0.08721  held 0.09277  persist 0.04075  SKILL -1.2768  r_eff  6.97   3580s
 20000  train 0.07517  held 0.10179  persist 0.06128  SKILL -0.6609  r_eff  6.68   3625s  <- best
 20250  train 0.08888  held 0.09380  persist 0.04058  SKILL -1.3116  r_eff  7.31   3671s
 20500  train 0.09784  held 0.09587  persist 0.04370  SKILL -1.1938  r_eff  7.25   3725s
 20750  train 0.11874  held 0.09581  persist 0.04763  SKILL -1.0114  r_eff  7.55   3770s
 21000  train 0.09238  held 0.09752  persist 0.04753  SKILL -1.0519  r_eff  7.86   3816s
 21250  train 0.10394  held 0.10009  persist 0.05983  SKILL -0.6729  r_eff  7.36   3861s
 21500  train 0.08838  held 0.09756  persist 0.04803  SKILL -1.0315  r_eff  7.58   3906s
 21750  train 0.10542  held 0.08984  persist 0.04284  SKILL -1.0971  r_eff  6.90   3951s
 22000  train 0.13252  held 0.09740  persist 0.04583  SKILL -1.1255  r_eff  7.94   3997s
 22250  train 0.08616  held 0.09019  persist 0.03851  SKILL -1.3416  r_eff  7.84   4042s
 22500  train 0.06312  held 0.09328  persist 0.04097  SKILL -1.2770  r_eff  8.69   4087s
 22750  train 0.10875  held 0.09014  persist 0.04537  SKILL -0.9869  r_eff  7.67   4133s
 23000  train 0.08844  held 0.10254  persist 0.06116  SKILL -0.6767  r_eff  7.78   4178s
 23250  train 0.08792  held 0.09879  persist 0.04565  SKILL -1.1640  r_eff  6.99   4223s
 23500  train 0.07925  held 0.09113  persist 0.04568  SKILL -0.9952  r_eff  8.35   4268s
 23750  train 0.08862  held 0.09651  persist 0.03855  SKILL -1.5036  r_eff  7.49   4314s
 24000  train 0.10054  held 0.09845  persist 0.04134  SKILL -1.3814  r_eff  7.64   4359s
 24250  train 0.10549  held 0.09822  persist 0.05503  SKILL -0.7849  r_eff  7.81   4404s
 24500  train 0.10321  held 0.09491  persist 0.05032  SKILL -0.8861  r_eff  8.26   4450s
 24750  train 0.07542  held 0.10196  persist 0.05191  SKILL -0.9644  r_eff  8.14   4495s
 25000  train 0.08935  held 0.09228  persist 0.04317  SKILL -1.1378  r_eff  7.84   4540s
 25250  train 0.06848  held 0.10163  persist 0.05840  SKILL -0.7401  r_eff  7.50   4585s
 25500  train 0.09238  held 0.08788  persist 0.04208  SKILL -1.0884  r_eff  7.22   4631s
 25750  train 0.07189  held 0.09349  persist 0.04062  SKILL -1.3015  r_eff  8.49   4676s
 26000  train 0.07765  held 0.09867  persist 0.04391  SKILL -1.2468  r_eff  7.27   4721s
 26250  train 0.10685  held 0.09602  persist 0.04407  SKILL -1.1789  r_eff  7.22   4767s
 26500  train 0.08314  held 0.08697  persist 0.03452  SKILL -1.5192  r_eff  8.17   4812s
 26750  train 0.09435  held 0.09124  persist 0.04519  SKILL -1.0191  r_eff  7.54   4857s
 27000  train 0.15422  held 0.08952  persist 0.04006  SKILL -1.2347  r_eff  8.13   4902s
 27250  train 0.08150  held 0.08971  persist 0.04428  SKILL -1.0262  r_eff  7.61   4948s
 27500  train 0.08653  held 0.09279  persist 0.04067  SKILL -1.2816  r_eff  8.14   4993s
 27750  train 0.08766  held 0.09635  persist 0.04691  SKILL -1.0538  r_eff  8.45   5038s
 28000  train 0.06741  held 0.09415  persist 0.04511  SKILL -1.0870  r_eff  8.91   5084s
 28250  train 0.09925  held 0.10070  persist 0.05390  SKILL -0.8684  r_eff  8.56   5129s
 28500  train 0.08891  held 0.09241  persist 0.04804  SKILL -0.9236  r_eff  8.51   5174s
 28750  train 0.17323  held 0.09194  persist 0.04606  SKILL -0.9961  r_eff  7.62   5219s
 29000  train 0.07232  held 0.08939  persist 0.04292  SKILL -1.0829  r_eff  7.18   5264s
 29250  train 0.08599  held 0.09150  persist 0.03689  SKILL -1.4807  r_eff  7.98   5310s
 29500  train 0.05634  held 0.09229  persist 0.04106  SKILL -1.2476  r_eff  7.15   5356s
 29750  train 0.08385  held 0.09059  persist 0.04607  SKILL -0.9664  r_eff  7.87   5401s
 30000  train 0.07380  held 0.09902  persist 0.04785  SKILL -1.0694  r_eff  8.17   5446s
best skill against persistence: -0.6609
